City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jose maria morelos,23.3952,-103.8984,58.86,15,0,7.63,MX,1711677957
84,metlili chaamba,32.2667,3.6333,59.94,18,0,2.3,DZ,1711677957
85,kemijarvi,66.7131,27.4306,18.63,91,100,4.97,FI,1711677957
86,sitka,57.0531,-135.33,51.69,54,20,13.8,US,1711677957
87,hawaiian paradise park,19.5933,-154.9731,78.31,78,40,8.05,US,1711677871
88,college,64.8569,-147.8028,36.45,69,75,5.75,US,1711677603
89,nola,40.922,14.5329,61.21,68,100,3.27,IT,1711677958
90,bikenibeu village,1.3673,173.1241,87.76,79,40,11.5,KI,1711677958
91,konarka,19.9,86.1167,81.16,70,29,15.08,IN,1711677958
92,georgetown,5.4112,100.3354,87.73,82,20,5.75,MY,1711677862
93,praia da vitoria,38.7333,-27.0667,53.85,76,40,30.02,PT,1711677959
94,zhezqazghan,47.7833,67.7667,37.98,93,75,15.66,KZ,1711677959
95,saint-pierre,-21.3393,55.4781,76.68,73,0,5.75,RE,1711677959
96,waitangi,-43.9535,-176.5597,56.82,64,98,5.01,NZ,1711677959
97,bintulu,3.1667,113.0333,81.01,88,20,3.44,MY,1711677905
98,hasaki,35.7333,140.8333,63.28,89,100,43.87,JP,1711677876
99,labrador city,52.9463,-66.9114,35.51,82,100,3.44,CA,1711677914
100,alofi,-19.0595,-169.9187,85.89,74,20,6.91,NU,1711677960
101,piacabucu,-10.4056,-36.4344,79.65,89,100,10.04,BR,1711677747
102,santa ana,33.7456,-117.8678,64.08,79,75,11.5,US,1711677879
103,palu,-0.8917,119.8707,85.23,80,72,1.03,ID,1711677929
104,alta,69.9689,23.2717,24.06,79,40,69.99,NO,1711677778
105,tailai,46.3833,123.4,33.55,36,100,15.88,CN,1711677873
106,pemba,-12.974,40.5178,77.2,87,76,10.31,MZ,1711677961
107,olonkinbyen,70.9221,-8.7187,26.98,67,100,15.43,SJ,1711677961
108,batticaloa,7.7102,81.6924,81.07,76,100,3.44,LK,1711677961
109,saldanha,-33.0117,17.9442,60.85,92,53,15.82,ZA,1711677962
110,puerto deseado,-47.7503,-65.8938,62.42,48,100,13.56,AR,1711677685
111,codrington,-38.2667,141.9667,72.39,40,16,5.75,AU,1711677962
112,ust-nera,64.5667,143.2,26.73,86,100,6.29,RU,1711677962
113,bilibino,68.0546,166.4372,6.48,67,100,3.27,RU,1711677962
114,alo,7.4178,6.7371,83.39,78,90,7.4,NG,1711677962
115,vilyuchinsk,52.9306,158.4028,34.07,76,5,2.21,RU,1711677963
116,port lincoln,-34.7333,135.8667,75.74,48,6,8.9,AU,1711677963
117,punta arenas,-53.15,-70.9167,44.71,61,20,20.71,CL,1711677963
118,bredasdorp,-34.5322,20.0403,60.71,83,82,5.37,ZA,1711677963
119,mao,39.8885,4.2658,61.36,77,0,17.27,ES,1711677963
120,east ballina,-28.8667,153.5833,77.79,77,46,7.99,AU,1711677963
121,marka,1.7159,44.7717,81.99,78,16,15.64,SO,1711677964
122,margaret river,-33.95,115.0667,69.67,70,99,4.32,AU,1711677964
123,labuan bajo,-8.4964,119.8877,86.7,69,24,5.37,ID,1711677964
124,clinton,42.587,-82.9199,42.93,53,0,6.91,US,1711677740
125,okulovka,58.4008,33.2908,45.55,90,99,8.25,RU,1711677965
126,holualoa,19.6228,-155.9522,75.04,77,75,9.22,US,1711677965
127,thompson,55.7435,-97.8558,23.16,39,20,6.91,CA,1711677698
128,ust'-uda,54.1742,103.0304,18.03,67,16,4.59,RU,1711677965
129,daru,-9.0763,143.2092,85.62,75,63,3.98,PG,1711677965
130,enewetak,11.3474,162.3373,81.3,77,97,18.54,MH,1711677966
131,nizhniy kuranakh,58.8353,125.4869,6.33,91,100,9.26,RU,1711677966
132,nabire,-3.3667,135.4833,83.07,81,100,4.23,ID,1711677928
133,bichura,50.5881,107.6022,22.41,56,70,13.58,RU,1711677966
134,new norfolk,-42.7826,147.0587,69.71,36,0,1.45,AU,1711677966
135,nova xavantina,-14.6667,-52.35,71.13,99,100,1.39,BR,1711677966
136,jamestown,42.097,-79.2353,35.71,62,0,4.61,US,1711677967
137,margate,51.3813,1.3862,49.3,85,100,13.0,GB,1711677918
138,st. john's,47.5649,-52.7093,51.28,98,100,18.41,CA,1711677967
139,crockett,31.3182,-95.4566,59.63,94,0,0.0,US,1711677691
140,westport,41.1415,-73.3579,44.73,83,100,11.5,US,1711677967
141,eregli,37.5133,34.0467,54.55,62,100,1.32,TR,1711677967
142,antalaha,-14.9003,50.2788,76.77,90,100,10.27,MG,1711677968
